 time            v(vin)          v(vout)        
 3.34780000e-04  7.58614449e-01  3.51876959e-01 
 3.35780000e-04  7.58582369e-01  3.52215109e-01 
 3.36780000e-04  7.58549952e-01  3.52557523e-01 
 3.37780000e-04  7.58517196e-01  3.52906222e-01 
 3.38780000e-04  7.58484105e-01  3.53259314e-01 
 3.39780000e-04  7.58450678e-01  3.53617428e-01 
 3.40780000e-04  7.58416918e-01  3.53980641e-01 
 3.41780000e-04  7.58382825e-01  3.54348993e-01 
 3.42780000e-04  7.58348402e-01  3.54722527e-01 
 3.43780000e-04  7.58313649e-01  3.55101289e-01 
 3.44780000e-04  7.58278568e-01  3.55485324e-01 
 3.45780000e-04  7.58243159e-01  3.55874679e-01 
 3.46780000e-04  7.58207426e-01  3.56269402e-01 
 3.47780000e-04  7.58171368e-01  3.56669542e-01 
 3.48780000e-04  7.58134988e-01  3.57075148e-01 
 3.49780000e-04  7.58098287e-01  3.57486271e-01 
 3.50780000e-04  7.58061266e-01  3.57902963e-01 
 3.51780000e-04  7.58023927e-01  3.58325277e-01 
 3.52780000e-04  7.57986271e-01  3.58753267e-01 
 3.53780000e-04  7.57948300e-01  3.59186988e-01 
 3.54780000e-04  7.57910015e-01  3.59626496e-01 
 3.55780000e-04  7.57871417e-01  3.60071849e-01 
 3.56780000e-04  7.57832509e-01  3.60523106e-01 
 3.57780000e-04  7.57793292e-01  3.60980325e-01 
 3.58780000e-04  7.57753767e-01  3.61443568e-01 
 3.59780000e-04  7.57713936e-01  3.61912898e-01 
 3.60780000e-04  7.57673801e-01  3.62388377e-01 
 3.61780000e-04  7.57633362e-01  3.62870070e-01 
 3.62780000e-04  7.57592622e-01  3.63358044e-01 
 3.63780000e-04  7.57551583e-01  3.63852366e-01 
 3.64780000e-04  7.57510245e-01  3.64353105e-01 
 3.65780000e-04  7.57468611e-01  3.64860330e-01 
 3.66780000e-04  7.57426682e-01  3.65374113e-01 
 3.67780000e-04  7.57384459e-01  3.65894528e-01 
 3.68780000e-04  7.57341945e-01  3.66421648e-01 
